record_time_perf,tap_number,frame_age_ms,t_read_total_ms,t_frameacq_ms,t_getts_ms,t_frameconv_ms,detect_time_ms
11356.573192729,81,0.161242,1.732889,1.54797,0.009389,0.17046,4.211525
11356.617978706,82,0.273505,1.297891,1.139514,0.004589,0.149739,3.207041
11356.891917009,83,0.629787,1.852117,1.592799,0.004859,0.25036,3.68799
11356.900070793,84,0.986028,1.671546,1.485755,0.004529,0.178466,3.986938
11356.91626761,85,0.248707,2.030192,1.717027,0.00988,0.298195,3.615937
11356.963808725,86,0.33588,2.032287,1.706215,0.00479,0.318596,3.36738
11356.975311674,87,1.995192,1.778049,1.502298,0.005972,0.265861,3.713963
11356.99881352,88,0.900577,1.881325,1.515825,0.005662,0.35563,3.465757
11357.026910067,89,2.258378,1.666716,1.438181,0.005661,0.219859,3.628051
11359.391334345,90,0.74159,1.627658,1.475725,0.005611,0.142504,3.476736
11359.409292005,91,1.519963,2.0204,1.58913,0.012374,0.409818,5.003093
11360.627592588,92,0.480469,1.616806,1.46376,0.004699,0.145571,3.516637
11364.640243766,93,1.199702,2.147562,1.765851,0.010912,0.363635,4.015067
11364.707815304,94,0.69204,1.574149,1.40907,0.005631,0.15561,3.561542
11366.550817554,95,0.639665,1.719198,1.405562,0.005541,0.300559,3.361281
11372.325557001,96,0.815805,1.94216,1.674898,0.006543,0.257573,3.801655
11372.749691498,97,0.23613,1.778133,1.532724,0.007024,0.234717,4.917579
11373.171830088,98,0.17572,1.880928,1.559126,0.005882,0.313264,3.495505
11373.582692663,99,0.430157,1.875587,1.623766,0.003246,0.243696,3.887555
11373.979391162,100,1.799455,1.820177,1.612071,0.003718,0.199898,4.243894
11374.370068111,101,0.222994,1.676009,1.495198,0.005321,0.171251,3.446626
11374.770157693,102,0.916565,1.628104,1.469888,0.003236,0.150721,4.10139
11375.139303553,103,0.437311,1.83711,1.585909,0.00487,0.241811,3.454832
11375.497360721,104,1.330259,1.547893,1.406602,0.004549,0.134057,3.899157
11376.479883982,105,2.024712,1.463905,1.30533,0.005361,0.149738,4.853406
11376.882355282,106,1.022987,1.650337,1.283737,0.004399,0.357883,3.493989
11377.249966604,107,0.29156,1.968891,1.674124,0.01504,0.275679,3.472775
11377.625189107,108,1.66729,1.573524,1.330399,0.013788,0.225309,3.596792
11378.030348048,109,0.153356,1.879693,1.64713,0.004088,0.224938,3.727162
11378.466673554,110,1.083457,1.669023,1.408735,0.006533,0.249737,4.03226
11378.854741719,111,0.960453,1.342864,1.199239,0.003858,0.137002,3.283067
11379.251819656,112,0.517039,1.852038,1.624574,0.002956,0.222022,3.577232
11379.745984045,113,0.429345,2.028709,1.718492,0.00518,0.301391,3.612052
11380.070365117,114,0.685745,1.267053,1.121283,0.004208,0.138376,3.536151
11380.353253776,115,1.090662,2.21556,1.891164,0.015511,0.303645,3.325681
11380.667780783,116,0.599994,1.70281,1.39135,0.004038,0.303835,3.633384
11381.022256482,117,0.434064,1.910813,1.628352,0.006383,0.270648,3.424818
11381.405069128,118,1.503252,1.904952,1.651758,0.00509,0.244958,3.599215
11387.411355136,119,1.295667,1.686074,1.458582,0.003296,0.221481,5.065488
11387.442271574,120,1.37727,1.616866,1.367921,0.007865,0.23123,3.4328
11387.47827538,121,1.04603,1.414244,1.259295,0.004619,0.147033,3.546746
11387.871019009,122,2.117152,1.376519,1.143665,0.00505,0.224758,4.004557
11387.883654878,123,1.582849,1.949979,1.672397,0.009639,0.261219,3.783157
11410.836681463,124,1.392474,1.943919,1.573373,0.005311,0.35779,3.457413
11411.237981133,125,0.308763,2.043747,1.749903,0.006453,0.284084,3.352253
11411.583264966,126,1.356182,1.828219,1.591329,0.003788,0.229585,4.269072
11411.936420122,127,1.864782,1.29983,1.138009,0.003577,0.154858,3.816083
11412.277760516,128,1.455949,1.77863,1.535557,0.004319,0.235988,4.072321
11412.557489207,129,1.335791,1.64287,1.445558,0.003417,0.187713,3.434275
11412.857205824,130,1.414918,1.843859,1.585777,0.004348,0.248033,3.44678
11414.015449801,131,0.722894,1.894439,1.53733,0.004689,0.34746,4.032772
11414.436614513,132,0.633086,1.782727,1.526779,0.003106,0.248813,3.742446
11414.842388509,133,0.235958,1.603882,1.380479,0.00524,0.209766,3.449083
11415.256385351,134,1.797997,1.889128,1.620034,0.004159,0.260015,3.645642
11415.663264353,135,0.376557,1.872535,1.600375,0.004048,0.265206,3.474343
11416.063683148,136,1.727557,1.713049,1.474034,0.003608,0.232621,3.87602
11416.434155869,137,0.189927,1.453443,1.317223,0.003307,0.130128,3.909405
11416.815764974,138,1.085523,2.01126,1.701505,0.006503,0.299354,4.447263
11417.169786289,139,1.495065,1.046617,0.883383,0.00505,0.154687,3.515664
11417.534686377,140,0.449612,1.844941,1.665624,0.005261,0.169075,3.201601
11417.897700083,141,0.711101,1.390899,1.216162,0.006312,0.165028,3.368092
11418.264060035,142,1.815551,1.44212,1.29096,0.004189,0.143354,4.223256
11418.710883892,143,0.583297,1.165491,1.002358,0.005932,0.153535,3.372279
11419.117678003,144,0.678516,2.012591,1.664852,0.003757,0.338452,3.879725
11419.525555875,145,0.607885,1.917763,1.656384,0.00482,0.25225,3.472827
11419.951901164,146,1.507791,1.581737,1.372342,0.004238,0.201199,3.455693
11420.357719184,147,0.379853,1.788397,1.559272,0.004509,0.221669,4.068177
11420.779765107,148,1.355408,1.127676,0.982959,0.003928,0.137362,3.442847
11421.192455325,149,1.345818,1.930237,1.726132,0.009328,0.187662,3.858902
11421.594894697,150,1.461848,1.687697,1.534953,0.003107,0.146951,3.769985
11425.299481958,151,0.659998,1.59916,1.369093,0.003888,0.223213,3.379238
11462.993508174,152,0.898946,1.817851,1.425235,0.006253,0.383487,3.235171
11466.168231326,153,0.320734,1.93461,1.677684,0.003647,0.24839,3.631292
11466.753933972,154,1.547316,1.82354,1.648355,0.006162,0.165317,4.271776
11467.277257619,155,0.654883,1.769394,1.524971,0.006673,0.234022,3.643193
11469.495853384,156,1.822659,1.73728,1.566272,0.00513,0.162892,3.910068
11470.253525807,157,0.38506,2.012512,1.723141,0.010571,0.270975,3.468757
11470.830296814,158,0.665203,2.296864,1.817578,0.008778,0.462032,3.402627
11472.897600995,159,1.856625,1.490091,1.268183,0.003237,0.215906,3.431993
11484.399941728,160,1.666405,1.72958,1.534445,0.00468,0.183762,3.698892
11484.852966576,161,2.519096,1.903543,1.657929,0.004809,0.237108,3.538106
11485.325800881,162,1.825859,1.821691,1.642889,0.003156,0.171188,3.923526
11485.766456087,163,1.533673,1.452353,1.193613,0.005541,0.248129,3.902163
11486.169788851,164,0.368467,1.86656,1.637919,0.002966,0.222749,4.015225
11486.630289953,165,1.41537,1.411392,1.173964,0.004199,0.228901,3.59707
11487.047209455,166,0.472822,1.899615,1.553012,0.007575,0.334509,3.448819
11487.837350149,167,0.332856,1.761112,1.546879,0.003858,0.202839,3.959274
11488.274116181,168,0.844534,1.696013,1.513594,0.003536,0.174144,3.290335
11488.639643359,169,1.718337,1.610073,1.453535,0.004739,0.148623,3.448707
11488.976450881,170,0.765359,1.955014,1.600986,0.012334,0.336213,3.212822
11489.304741751,171,1.756021,1.757694,1.482862,0.009208,0.261676,4.341456
11489.606016477,172,0.650322,1.737323,1.600515,0.003176,0.130828,3.565096
11489.900605528,173,1.235435,1.639751,1.445398,0.02531,0.164855,3.4708
11490.202288198,174,1.477913,1.691184,1.524034,0.00516,0.158342,3.606378
11490.543984302,175,1.355331,1.467351,1.288419,0.007003,0.167621,3.808886
11491.224204219,176,0.778244,1.657667,1.492381,0.004178,0.156268,3.479837
11491.747036849,177,0.528692,2.023367,1.70994,0.007244,0.301054,3.533523
11492.250620475,178,0.353046,1.943519,1.671053,0.004609,0.264862,3.592438
11492.681909277,179,0.432612,1.706643,1.472361,0.004189,0.226155,3.57778
11493.167303766,180,1.053917,1.716883,1.459125,0.006202,0.247648,3.670412
