# Logging started at 2025-07-23 16:52:51
# Device: crockett
# Baud Rate: 115200
# Method: raw
# Frequency: 200
# Threshold: 80
# Pd Delay: 3
# Output Method: aux_speaker
    
1753303973.0731757, 29 ms
1753303974.0223167, 13 ms
1753303975.007239, 12 ms
1753303975.8927088, 9 ms
1753303977.8724282, 10 ms
1753303978.8073587, 11 ms
1753303980.8174582, 6 ms
1753303981.8825305, 12 ms
1753303982.817007, 11 ms
1753303983.8724363, 9 ms
1753303984.8625035, 7 ms
1753303985.77701, 14 ms
1753303986.7324245, 12 ms
1753303987.677195, 14 ms
1753303988.603007, 15 ms
1753303989.4772182, 14 ms
1753303990.4321313, 11 ms
1753303991.3572164, 10 ms
1753303992.3374264, 8 ms
1753303993.232161, 13 ms
1753303994.1473465, 17 ms
1753303995.0121512, 17 ms
1753303995.9174452, 16 ms
1753303996.7475822, 12 ms
1753303997.6372223, 15 ms
1753303998.3569891, 9 ms
1753303999.1620436, 11 ms
1753304000.0875504, 12 ms
1753304000.9970071, 18 ms
1753304001.927315, 8 ms
1753304002.9372127, 11 ms
1753304003.8521466, 11 ms
1753304004.7774477, 9 ms
1753304005.632469, 9 ms
1753304006.4326546, 10 ms
1753304007.26737, 13 ms
1753304008.1029837, 9 ms
1753304008.8875875, 10 ms
1753304009.6483324, 12 ms
1753304010.323006, 11 ms
